ibge,city,state,region,pop2019,pop2020,pop2021,isCountryside,cod_RegiaoDeSaude,name_RegiaoDeSaude,ibge_id
3202553,Ibitirama/ES,ES,Sudeste,8889,8859,8830,1,32004,Sul,3202553
3202603,Iconha/ES,ES,Sudeste,13860,13973,14083,1,32004,Sul,3202603
3202652,Irupi/ES,ES,Sudeste,13377,13526,13672,1,32004,Sul,3202652
3202702,Itaguaçu/ES,ES,Sudeste,14066,14023,13982,1,32002,Metropolitana,3202702
3202801,Itapemirim/ES,ES,Sudeste,34348,34656,34957,1,32004,Sul,3202801
3202900,Itarana/ES,ES,Sudeste,10555,10494,10433,1,32002,Metropolitana,3202900
3203007,Iúna/ES,ES,Sudeste,29161,29290,29417,1,32004,Sul,3203007
3203056,Jaguaré/ES,ES,Sudeste,30477,31039,31589,1,32003,Norte,3203056
3203106,Jerônimo Monteiro/ES,ES,Sudeste,12192,12265,12336,1,32004,Sul,3203106
3203130,João Neiva/ES,ES,Sudeste,16668,16722,16774,1,32001,Central,3203130
3203163,Laranja da Terra/ES,ES,Sudeste,10947,10933,10919,1,32002,Metropolitana,3203163
3203205,Linhares/ES,ES,Sudeste,173555,176688,179755,1,32001,Central,3203205
3203304,Mantenópolis/ES,ES,Sudeste,15350,15503,15653,1,32001,Central,3203304
3203320,Marataízes/ES,ES,Sudeste,38499,38883,39259,1,32004,Sul,3203320
3203346,Marechal Floriano/ES,ES,Sudeste,16694,16920,17141,1,32002,Metropolitana,3203346
3203353,Marilândia/ES,ES,Sudeste,12833,12963,13091,1,32001,Central,3203353
3203403,Mimoso do Sul/ES,ES,Sudeste,26153,26115,26079,1,32004,Sul,3203403
3203502,Montanha/ES,ES,Sudeste,18833,18894,18954,1,32003,Norte,3203502
3203601,Mucurici/ES,ES,Sudeste,5524,5496,5468,1,32003,Norte,3203601
3203700,Muniz Freire/ES,ES,Sudeste,17465,17319,17176,1,32004,Sul,3203700
3203809,Muqui/ES,ES,Sudeste,15449,15526,15602,1,32004,Sul,3203809
3203908,Nova Venécia/ES,ES,Sudeste,50110,50434,50751,1,32003,Norte,3203908
3204005,Pancas/ES,ES,Sudeste,23184,23306,23426,1,32001,Central,3204005
