date,country,state,city,newDeaths,deaths,newCases,totalCases,deathsMS,totalCasesMS
2020-03-22,Brazil,SE,TOTAL,0,0,0,10,0,10
2020-03-22,Brazil,SP,TOTAL,7,22,172,631,22,631
2020-03-22,Brazil,TO,TOTAL,0,0,3,5,0,2
2020-03-22,Brazil,TOTAL,TOTAL,7,25,397,1594,25,1546
2020-03-23,Brazil,AC,TOTAL,0,0,6,17,0,11
2020-03-23,Brazil,AL,TOTAL,0,0,1,8,0,7
2020-03-23,Brazil,AM,TOTAL,0,0,6,32,0,32
2020-03-23,Brazil,AP,TOTAL,0,0,0,1,0,1
2020-03-23,Brazil,BA,TOTAL,0,0,8,63,0,63
2020-03-23,Brazil,CE,TOTAL,0,0,39,164,0,163
2020-03-23,Brazil,DF,TOTAL,0,0,21,138,0,133
2020-03-23,Brazil,ES,TOTAL,0,0,7,33,0,29
2020-03-23,Brazil,GO,TOTAL,0,0,2,23,0,23
2020-03-23,Brazil,MA,TOTAL,0,0,6,8,0,2
2020-03-23,Brazil,MG,TOTAL,0,0,45,128,0,128
2020-03-23,Brazil,MS,TOTAL,0,0,0,21,0,21
2020-03-23,Brazil,MT,TOTAL,0,0,4,6,0,2
2020-03-23,Brazil,PA,TOTAL,0,0,1,5,0,5
2020-03-23,Brazil,PB,TOTAL,0,0,1,2,0,2
2020-03-23,Brazil,PE,TOTAL,0,0,5,42,0,42
2020-03-23,Brazil,PI,TOTAL,0,0,0,6,0,6
2020-03-23,Brazil,PR,TOTAL,0,0,6,60,0,56
2020-03-23,Brazil,RJ,TOTAL,1,4,47,233,4,233
2020-03-23,Brazil,RN,TOTAL,0,0,0,13,0,13
2020-03-23,Brazil,RO,TOTAL,0,0,0,3,0,3
2020-03-23,Brazil,RR,TOTAL,0,0,0,2,0,2
2020-03-23,Brazil,RS,TOTAL,0,0,19,96,0,86
2020-03-23,Brazil,SC,TOTAL,0,0,18,86,0,68
2020-03-23,Brazil,SE,TOTAL,0,0,0,10,0,10
2020-03-23,Brazil,SP,TOTAL,8,30,114,745,30,745
2020-03-23,Brazil,TO,TOTAL,0,0,2,7,0,5
2020-03-23,Brazil,TOTAL,TOTAL,9,34,358,1952,34,1891
2020-03-24,Brazil,AC,TOTAL,0,0,4,21,0,17
2020-03-24,Brazil,AL,TOTAL,0,0,2,10,0,9
2020-03-24,Brazil,AM,TOTAL,1,1,15,47,0,47
2020-03-24,Brazil,AP,TOTAL,0,0,0,1,0,1
2020-03-24,Brazil,BA,TOTAL,0,0,16,79,0,76
2020-03-24,Brazil,CE,TOTAL,0,0,21,185,0,182
2020-03-24,Brazil,DF,TOTAL,0,0,23,161,0,160
2020-03-24,Brazil,ES,TOTAL,0,0,7,40,0,33
2020-03-24,Brazil,GO,TOTAL,0,0,6,29,0,27
2020-03-24,Brazil,MA,TOTAL,0,0,0,8,0,8
2020-03-24,Brazil,MG,TOTAL,0,0,2,130,0,130
2020-03-24,Brazil,MS,TOTAL,0,0,3,24,0,23
2020-03-24,Brazil,MT,TOTAL,0,0,1,7,0,7
2020-03-24,Brazil,PA,TOTAL,0,0,0,5,0,5
2020-03-24,Brazil,PB,TOTAL,0,0,1,3,0,3
2020-03-24,Brazil,PE,TOTAL,0,0,0,42,0,42
2020-03-24,Brazil,PI,TOTAL,0,0,2,8,0,6
2020-03-24,Brazil,PR,TOTAL,0,0,10,70,0,65
2020-03-24,Brazil,RJ,TOTAL,2,6,72,305,6,305
2020-03-24,Brazil,RN,TOTAL,0,0,1,14,0,13
2020-03-24,Brazil,RO,TOTAL,0,0,2,5,0,3
2020-03-24,Brazil,RR,TOTAL,0,0,6,8,0,2
2020-03-24,Brazil,RS,TOTAL,0,0,16,112,0,98
2020-03-24,Brazil,SC,TOTAL,0,0,23,109,0,107
2020-03-24,Brazil,SE,TOTAL,0,0,5,15,0,15
2020-03-24,Brazil,SP,TOTAL,10,40,65,810,40,810
2020-03-24,Brazil,TO,TOTAL,0,0,0,7,0,7
2020-03-24,Brazil,TOTAL,TOTAL,13,47,303,2255,46,2201
2020-03-25,Brazil,AC,TOTAL,0,0,2,23,0,23
2020-03-25,Brazil,AL,TOTAL,0,0,1,11,0,11
2020-03-25,Brazil,AM,TOTAL,0,1,7,54,1,54
2020-03-25,Brazil,AP,TOTAL,0,0,1,2,0,1
2020-03-25,Brazil,BA,TOTAL,0,0,12,91,0,84
2020-03-25,Brazil,CE,TOTAL,0,0,26,211,0,200
2020-03-25,Brazil,DF,TOTAL,0,0,34,195,0,160
2020-03-25,Brazil,ES,TOTAL,0,0,0,40,0,39
2020-03-25,Brazil,GO,TOTAL,0,0,6,35,0,29
2020-03-25,Brazil,MA,TOTAL,0,0,0,8,0,8
2020-03-25,Brazil,MG,TOTAL,0,0,3,133,0,133
2020-03-25,Brazil,MS,TOTAL,0,0,0,24,0,24
2020-03-25,Brazil,MT,TOTAL,0,0,2,9,0,8
2020-03-25,Brazil,PA,TOTAL,0,0,2,7,0,7
2020-03-25,Brazil,PB,TOTAL,0,0,2,5,0,3
2020-03-25,Brazil,PE,TOTAL,1,1,4,46,1,46
2020-03-25,Brazil,PI,TOTAL,0,0,1,9,0,8
2020-03-25,Brazil,PR,TOTAL,0,0,27,97,0,81
2020-03-25,Brazil,RJ,TOTAL,2,8,65,370,6,370
2020-03-25,Brazil,RN,TOTAL,0,0,0,14,0,14
2020-03-25,Brazil,RO,TOTAL,0,0,0,5,0,5
2020-03-25,Brazil,RR,TOTAL,0,0,0,8,0,8
2020-03-25,Brazil,RS,TOTAL,1,1,50,162,1,123
2020-03-25,Brazil,SC,TOTAL,0,0,13,122,0,109
2020-03-25,Brazil,SE,TOTAL,0,0,1,16,0,16
2020-03-25,Brazil,SP,TOTAL,8,48,52,862,48,862
2020-03-25,Brazil,TO,TOTAL,0,0,0,7,0,7
2020-03-25,Brazil,TOTAL,TOTAL,12,59,311,2566,57,2433
2020-03-26,Brazil,AC,TOTAL,0,0,1,24,0,24
2020-03-26,Brazil,AL,TOTAL,0,0,0,11,0,11
2020-03-26,Brazil,AM,TOTAL,0,1,13,67,1,67
2020-03-26,Brazil,AP,TOTAL,0,0,0,2,0,2
2020-03-26,Brazil,BA,TOTAL,0,0,17,108,0,104
2020-03-26,Brazil,CE,TOTAL,3,3,26,237,3,235
2020-03-26,Brazil,DF,TOTAL,0,0,6,201,0,200
2020-03-26,Brazil,ES,TOTAL,0,0,8,48,0,39
2020-03-26,Brazil,GO,TOTAL,1,1,4,39,1,39
